sp_name,var_name,method_name,method_location
sp_getdetailsbytxnrefno,jdbcCallgetDetailsByTxnRefNo,ChargesRepositoryImpl,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/ChargesRepositoryImpl.java:60
sp_getdetailsbytxnrefno,jdbcCallgetDetailsByTxnRefNo,getDetailsByTxnRefNo,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/ChargesRepositoryImpl.java:898
sp_account_mini_statement,jdbcCallStatementMini,getMiniStatementForAccount,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:4690
sp_account_mini_statement,jdbcCallStatementMiniRead,getMiniStatementForAccount,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:4690
sp_account_info_balances,jdbcCallAccountInfo,getOpeningClosingBalance,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:8254
sp_account_info_balances,jdbcCallAccountInfoRead,getOpeningClosingBalance,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:8254
sp_account_info_balances,jdbcCallAccountInfoCount,getStatementTxnPagesMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11448
sp_account_info_balances,jdbcCallAccountInfoCountReader,getStatementTxnPagesMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11448
sp_account_statement,jdbcCallStatement,getTransactionsWithBalance,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:8300
sp_account_statement,jdbcCallStatementRead,getTransactionsWithBalance,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:8300
sp_account_statement,jdbcCallStatementMobile,getStatementMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11382
sp_account_statement,jdbcCallStatementMobileReader,getStatementMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11382
sp_account_statement,jdbcCallStatementMobileCount,statementCountMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11565
sp_account_statement,jdbcCallReaderStatementMobileCount,statementCountMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11565
sp_backup_bod,jdbcCallEodBackup,getDailyBackUp,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:10423
statement_search,jdbcCallStatementSearch,statementSearchMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11477
statement_search,jdbcCallStatementSearchCount,statementSearchCountMobile,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11539
neft_rtgs_register,jdbcCallNeftRtgsRegister,getNeftRtgsRequestForDate,/Users/mrityunjoydey/Documents/github/ne-bank-cbs/turing-slice-cbs/cbs-transactions/app/api/bsgaccounting/repository/cbs/CbsRepositoryImpl.java:11630
